filedFor,cik,ticker,no_shares,value,industry
2002-03-31,4962,AXP,4812100,419855000,Financial Services
2002-03-31,12659,HRB,15999200,711164000,Consumer Cyclical
2002-03-31,21344,KO,200000000,10452001000,Consumer Defensive
2002-03-31,29905,DOV,2165100,88769000,Industrials
2002-03-31,36270,MTB-PJ,6708760,539183000,Financial Services
2002-03-31,39899,TGNA,3636800,276760000,Communication Services
2002-03-31,39911,GAP,15000000,225600000,Consumer Cyclical
2002-03-31,40211,GATX,7340700,233434000,Industrials
2002-03-31,89439,MLI,3046900,106611000,Industrials
2002-03-31,104889,GHC,1727765,1048805000,Consumer Defensive
2002-03-31,320187,NKE,4930700,296416000,Consumer Cyclical
2002-03-31,320335,GL-PD,2073462,83541000,Financial Services
2002-03-31,929008,WCC,5703087,1782785000,Industrials
2002-03-31,1012100,SEE,2787900,131254000,Consumer Cyclical
2002-03-31,1059556,MCO,25820400,1059235000,Financial Services
2002-06-30,4962,AXP,7924200,294780000,Financial Services
2002-06-30,12659,HRB,15999200,738363000,Consumer Cyclical
2002-06-30,21344,KO,200000000,11200001000,Consumer Defensive
2002-06-30,29905,DOV,2165100,75778000,Industrials
2002-06-30,36270,MTB-PJ,6708760,575343000,Financial Services
2002-06-30,39899,TGNA,3636800,276033000,Communication Services
2002-06-30,39911,GAP,20000000,284000000,Consumer Cyclical
2002-06-30,40211,GATX,7340700,220955000,Industrials
2002-06-30,89439,MLI,2480900,78769000,Industrials
2002-06-30,104889,GHC,1727765,941632000,Consumer Defensive
2002-06-30,320187,NKE,4405700,236366000,Consumer Cyclical
2002-06-30,320335,GL-PD,2073462,79207000,Financial Services
2002-06-30,929008,WCC,5703087,1720051000,Industrials
2002-06-30,1059556,MCO,25723500,1250961000,Financial Services
2002-09-30,4962,AXP,7924200,221481000,Financial Services
2002-09-30,8670,ADP,394600,13720000,Technology
2002-09-30,12659,HRB,15999200,672126000,Consumer Cyclical
2002-09-30,21344,KO,200000000,9592000000,Consumer Defensive
2002-09-30,29905,DOV,2479200,62922000,Industrials
2002-09-30,29989,OMC,500000,27840000,Communication Services
2002-09-30,36270,MTB-PJ,6708760,528717000,Financial Services
2002-09-30,39899,TGNA,3636800,262504000,Communication Services
2002-09-30,39911,GAP,20000000,217000000,Consumer Cyclical
2002-09-30,40211,GATX,7340700,145346000,Industrials
2002-09-30,89439,MLI,2480900,64255000,Industrials
2002-09-30,104889,GHC,1727765,1121319000,Consumer Defensive
2002-09-30,320187,NKE,6000000,259080000,Consumer Cyclical
2002-09-30,320335,GL-PD,2073462,71037000,Financial Services
2002-09-30,929008,WCC,5703087,1753699000,Industrials
2002-09-30,1059556,MCO,25289100,1207327000,Financial Services
2002-09-30,1108329,PTCCY,95900,1927000,Communication Services
2002-12-31,4962,AXP,11234500,397814000,Financial Services
2002-12-31,12659,HRB,15999200,643168000,Consumer Cyclical
